116.505531	39.982616
116.505651	39.982497
116.5058	39.982405
116.505886	39.982301
116.505931	39.982203
116.505967	39.982097
116.505995	39.98198
116.506022	39.981871
116.506034	39.98176
116.506054	39.981651
116.506073	39.981538
116.506087	39.981431
116.506091	39.981325
116.506107	39.981218
116.506103	39.981107
116.506105	39.981014
116.506107	39.980919
116.506114	39.980838
116.506114	39.980759
116.506106	39.980681
116.506104	39.980628
116.506101	39.980574
116.506104	39.980534
116.506088	39.980497
116.506049	39.980463
116.506006	39.980432
116.505967	39.980434
116.505935	39.980446
116.505932	39.980454
116.50591	39.98046
116.505886	39.980461
116.505831	39.980468
116.505751	39.980476
116.505665	39.980483
116.505579	39.980497
116.505485	39.9805
116.50539	39.980516
116.505282	39.980534
116.50518	39.980548
116.505073	39.980572
116.504967	39.980586
116.504849	39.980601
116.504742	39.980612
116.504631	39.980629
116.504518	39.98064
116.504412	39.980648
116.504318	39.980648
116.504229	39.980653
116.504147	39.980648
116.50407	39.980646
116.504009	39.980651
116.503944	39.980665
116.503891	39.980699
116.503845	39.98073
116.503835	39.980774
116.503812	39.980816
116.503812	39.980881
116.50381	39.980963
116.503814	39.981041
116.503817	39.981118
116.503821	39.981208
116.50381	39.981294
116.503797	39.981382
116.503789	39.981463
116.503775	39.981554
116.503756	39.981649
116.503741	39.98174
116.503727	39.981835
116.503707	39.981919
116.503693	39.982008
116.503674	39.982101
116.503641	39.982186
116.503623	39.982276
116.503613	39.982365
116.503601	39.982454
116.503581	39.982542
116.503559	39.982635
116.503569	39.982728
116.503573	39.982818
116.50356	39.982906
116.503573	39.982999
116.503582	39.983096
116.503579	39.983182
116.503603	39.983275
116.503602	39.983366
116.503594	39.983451
116.503643	39.983543
116.503679	39.983636
116.50368	39.983726
116.503719	39.983813
116.503725	39.983902
116.503728	39.983995
116.503733	39.984089
116.503707	39.984188
116.5037	39.98428
116.503712	39.98438
116.50371	39.984481
116.503719	39.984573
116.503717	39.984677
116.503717	39.98478
116.50371	39.984871
116.503714	39.984972
116.503728	39.985067
116.503729	39.985161
116.503727	39.985261
116.503731	39.985357
116.50383	39.9854
116.503902	39.985479
116.503911	39.985583
116.503808	39.985748
116.50374	39.985905
116.503706	39.986041
116.503681	39.986165
116.503683	39.986259
116.503641	39.986386
116.503621	39.986648
116.503612	39.986819
116.503605	39.98697
116.503617	39.987086
116.503592	39.987177
116.503573	39.987278
116.503557	39.987369
116.503672	39.987476
116.50367	39.987564
116.503806	39.987635
116.503838	39.987673
116.503845	39.987742
116.503891	39.987765
116.503838	39.987894
116.503825	39.987979
116.50378	39.988066
116.503762	39.988093
116.503682	39.988173
116.503672	39.988212
116.503657	39.988244
116.503421	39.988371
116.503288	39.988443
116.503245	39.988487
116.503082	39.988563
116.502931	39.988567
116.502801	39.988555
116.502713	39.988579
116.50259	39.988565
116.502487	39.988566
116.50238	39.988556
116.502273	39.988542
116.50216	39.988526
116.502075	39.988541
116.50196	39.988503
116.501848	39.988488
116.501759	39.988499
116.501646	39.988483
116.501546	39.988468
116.501452	39.98846
116.501363	39.988465
116.501259	39.988457
116.501165	39.988446
116.501067	39.988448
116.500982	39.988454
116.500888	39.98846
116.500792	39.98847
116.500661	39.988486
116.500542	39.988503
116.500446	39.988514
116.500357	39.988525
116.500264	39.988532
116.500135	39.988568
116.50002	39.98858
116.49993	39.988593
116.499794	39.988614
116.499673	39.988628
116.499542	39.988638
116.499438	39.988659
116.499323	39.988673
116.49921	39.98869
116.499099	39.988707
116.498988	39.988723
116.498876	39.988748
116.498777	39.988768
116.49867	39.988781
116.498551	39.988788
116.498448	39.988776
116.498352	39.988789
116.498259	39.988807
116.49815	39.988796
116.498048	39.98883
116.497959	39.988873
116.497862	39.988907
116.497766	39.988946
116.497644	39.988895
116.497548	39.988928
116.496501	39.989268
116.497502	39.988917
116.497466	39.988963
116.497428	39.988999
116.497378	39.989042
116.497313	39.989083
116.497245	39.989103
116.497153	39.989127
116.497071	39.989154
116.496988	39.98918
116.496925	39.989222
116.496853	39.98927
116.496758	39.98929
116.496662	39.989287
116.496561	39.989294
116.496455	39.989282
116.496351	39.989269
116.496252	39.989246
116.496152	39.989226
116.49605	39.989191
116.495944	39.98916
116.495848	39.989113
116.495751	39.989063
116.495658	39.989024
116.495567	39.988969
116.495478	39.988923
116.495372	39.98888
116.495269	39.988843
116.495162	39.988809
116.495042	39.988794
116.494917	39.988765
116.494805	39.988745
116.494674	39.988728
116.494551	39.988708
116.494414	39.988678
116.494289	39.988645
116.494163	39.988619
116.494047	39.98858
116.493918	39.988557
116.493802	39.988522
116.493684	39.988491
116.49355	39.988465
116.493426	39.988441
116.493298	39.98842
116.493166	39.988398
116.493043	39.988373
116.492913	39.988358
116.492793	39.988346
116.492664	39.988336
116.49255	39.98832
116.492442	39.988303
116.492342	39.988284
116.492243	39.98827
116.492159	39.988247
116.492082	39.98823
116.492012	39.988213
116.491943	39.9882
116.491888	39.988176
116.491837	39.988162
116.491782	39.988145
116.491748	39.988127
116.4917	39.98811
116.491661	39.988099
116.491617	39.988079
116.491581	39.988062
116.491544	39.988047
116.491516	39.988035
116.491485	39.988026
116.491473	39.988025
116.491447	39.988029
116.491421	39.98803
116.491366	39.988037
116.49132	39.988045
116.491266	39.988043
116.491208	39.988048
116.491156	39.988061
116.491112	39.988058
116.491069	39.988062
116.491035	39.988062
116.491	39.988065
116.490967	39.988065
116.490943	39.988065
116.490925	39.988062
116.490885	39.988059
116.49084	39.988074
116.490813	39.988074
116.490786	39.988072
116.490746	39.988071
116.490716	39.988075
